T,pitch_pos,pitch_vel,wheel_pos,wheel_vel,waist_pos,waist_vel,c_pitch_pos,c_pitch_vel,Fr,wheel_torque
0, -1.5708, 0, 0, 0, 0, 0, -1.53277, 0, -2.22, 0
0.005, -1.58651, 0.000324101, -0.000307217, 0.128301, 0, 0, -1.54849, 0.000324101, -2.22, 0.152059
0.01, -1.59348, -0.000422198, -0.000443356, 0.147604, 0, 0, -1.55545, -0.000422198, -2.22, 0.0434454
0.014, -1.59657, 0.000210472, -0.000503685, 0.135818, 0, 0, -1.55854, 0.000210472, -2.22, 0.195504
0.018, -1.59793, -0.000362571, -0.000607223, 0.0265461, 0, 0, -1.55991, -0.000362571, -2.22, 0
0.023, -1.59854, -0.000911562, -0.000768311, -0.014053, 0, 0, -1.56052, -0.000911562, -2.22, 0.0217227
0.028, -1.59881, -0.00115534, -0.00110851, -0.0406495, 0, 0, -1.56079, -0.00115534, -2.22, 0
0.032, -1.59893, -0.00104074, -0.00125926, 0.0688242, 0, 0, -1.56091, -0.00104074, -2.22, 0.0217227
0.036, -1.59899, -0.000654308, -0.00136447, -0.211238, 0, 0, -1.56096, -0.000654308, -2.22, 0
0.04, -1.59901, -0.000449284, -0.00141109, -0.335345, 0, 0, -1.56099, -0.000449284, -2.22, 0
0.045, -1.59902, 0.000347274, -0.00135495, -0.148604, 0, 0, -1.561, 0.000347274, -2.22, -0.0217227
0.049, -1.59903, 0.000182042, -0.00136847, -0.0791513, 0, 0, -1.561, 0.000182042, -2.22, 0
0.053, -1.59903, -0.000522427, -0.00137446, -0.0491566, 0, 0, -1.56101, -0.000522427, -2.22, 0
0.057, -1.59903, 0.000389693, -0.00137712, -0.0358649, 0, 0, -1.56101, 0.000389693, -2.22, 0
0.061, -1.59903, 0.000236108, -0.00133989, 0.00288261, 0, 0, -1.56101, 0.000236108, -2.22, 0
0.065, -1.59903, 0.00113334, -0.0013618, -0.0464441, 0, 0, -1.561, 0.00113334, -2.22, 0
0.069, -1.59903, -0.000151154, -0.0013331, 0.106155, 0, 0, -1.561, -0.000151154, -2.22, -0.0217227
0.073, -1.59903, -0.000260849, -0.00132039, 0.173777, 0, 0, -1.56101, -0.000260849, -2.22, -0.0217227
0.077, -1.59903, 0.000283327, -0.00135316, 0.0167684, 0, 0, -1.561, 0.000283327, -2.22, -0.0434454
0.081, -1.59903, 0.000599429, -0.00132927, 0.01056, 0, 0, -1.561, 0.000599429, -2.22, 0
0.085, -1.59902, 0.0011478, -0.00135709, -0.0782464, 0, 0, -1.561, 0.0011478, -2.22, -0.0434454
0.089, -1.59902, 0.000537468, -0.00136942, -0.112124, 0, 0, -1.56099, 0.000537468, -2.22, -0.0868908
0.093, -1.59902, 0.000267007, -0.00137488, -0.112272, 0, 0, -1.56099, 0.000267007, -2.22, 0
0.097, -1.59901, -0.000112737, -0.0013389, -0.00985347, 0, 0, -1.56099, -0.000112737, -2.22, 0.0217227
0.101, -1.59901, -0.000355229, -0.00136136, -0.0669521, 0, 0, -1.56099, -0.000355229, -2.22, 0
0.106, -1.59902, -0.00127995, -0.00137131, -0.149364, 0, 0, -1.56099, -0.00127995, -2.22, -0.0434454
0.111, -1.59902, -0.000428095, -0.00137572, -0.135033, 0, 0, -1.56099, -0.000428095, -2.22, 0
0.116, -1.59902, 0.000433138, -0.00137768, -0.204567, 0, 0, -1.56099, 0.000433138, -2.22, 0
0.12, -1.59902, 0.000591388, -0.00134014, -0.0546647, 0, 0, -1.56099, 0.000591388, -2.22, 0.0217227
0.124, -1.59902, 0.000549291, -0.00132351, 0.0117628, 0, 0, -1.56099, 0.000549291, -2.22, 0.0217227
0.129, -1.59901, -0.000247514, -0.00135454, -0.128564, 0, 0, -1.56099, -0.000247514, -2.22, 0
0.134, -1.59901, -4.38216e-05, -0.00132989, -0.011597, 0, 0, -1.56099, -4.38216e-05, -2.22, -0.0217227
0.138, -1.59902, -0.000324188, -0.00131896, 0.0222421, 0, 0, -1.56099, -0.000324188, -2.22, -0.0217227
0.142, -1.59902, -0.000597033, -0.00131412, 0.0802651, 0, 0, -1.56099, -0.000597033, -2.22, 0
0.146, -1.59902, 6.08084e-05, -0.00131198, 0.0997187, 0, 0, -1.56099, 6.08084e-05, -2.22, 0
0.151, -1.59902, -0.00124175, -0.00131103, 0.0895636, 0, 0, -1.561, -0.00124175, -2.22, -0.0434454
0.156, -1.59903, -0.00055882, -0.00131061, 0.0490768, 0, 0, -1.561, -0.00055882, -2.22, 0
0.16, -1.59903, -0.000960636, -0.00131042, 0.027224, 0, 0, -1.56101, -0.000960636, -2.22, 0
0.164, -1.59903, -0.000247851, -0.00131034, 0.0175402, 0, 0, -1.56101, -0.000247851, -2.22, 0
0.169, -1.59903, -0.000267559, -0.0013103, 0.0155959, 0, 0, -1.56101, -0.000267559, -2.22, -0.0217227
0.173, -1.59903, 9.38031e-05, -0.00134869, -0.0689739, 0, 0, -1.56101, 9.38031e-05, -2.22, 0
0.178, -1.59903, 0.000587832, -0.0013657, -0.10645, 0, 0, -1.561, 0.000587832, -2.22, 0
0.182, -1.59903, -0.000676977, -0.00133483, -0.00962058, 0, 0, -1.561, -0.000676977, -2.22, 0
0.186, -1.59903, -0.000977267, -0.00135956, -0.0715428, 0, 0, -1.56101, -0.000977267, -2.22, 0
0.191, -1.59903, -0.00111054, -0.00137051, -0.0989828, 0, 0, -1.56101, -0.00111054, -2.22, 0
0.195, -1.59904, -0.000762693, -0.00137537, -0.0485569, 0, 0, -1.56101, -0.000762693, -2.22, 0
0.199, -1.59904, 9.6376e-05, -0.00133912, 0.0598439, 0, 0, -1.56101, 9.6376e-05, -2.22, 0
0.203, -1.59904, 7.07019e-05, -0.00136146, -0.0352842, 0, 0, -1.56101, 7.07019e-05, -2.22, -0.0868908
0.208, -1.59904, 0.000503095, -0.00137135, -0.077439, 0, 0, -1.56101, 0.000503095, -2.22, -0.0868908
0.212, -1.59903, 0.000619457, -0.00137574, -0.141494, 0, 0, -1.56101, 0.000619457, -2.22, -0.0434454
0.216, -1.59903, 0.000191799, -0.00133928, -0.0329731, 0, 0, -1.56101, 0.000191799, -2.22, 0
0.22, -1.59903, 0.00118871, -0.00136153, -0.069374, 0, 0, -1.561, 0.00118871, -2.22, -0.0434454
0.224, -1.59903, 0.000295129, -0.00133298, 0.0310611, 0, 0, -1.561, 0.000295129, -2.22, 0.0217227
0.229, -1.59903, -0.000138529, -0.00132034, 0.0231522, 0, 0, -1.561, -0.000138529, -2.22, -0.0217227
0.234, -1.59903, -0.000589541, -0.00135313, -0.071884, 0, 0, -1.561, -0.000589541, -2.22, -0.0434454
0.238, -1.59903, -0.00116013, -0.00132926, 0.0229079, 0, 0, -1.561, -0.00116013, -2.22, -0.0217227
0.242, -1.59903, -0.00141324, -0.00131869, 0.0367502, 0, 0, -1.56101, -0.00141324, -2.22, 0.0217227
0.247, -1.59904, -0.000523255, -0.0013524, -0.0885455, 0, 0, -1.56101, -0.000523255, -2.22, 0
0.252, -1.59904, 1.81172e-05, -0.00136734, -0.162062, 0, 0, -1.56101, 1.81172e-05, -2.22, -0.0651681
0.256, -1.59904, -0.000853214, -0.00133556, -0.00375389, 0, 0, -1.56101, -0.000853214, -2.22, 0
0.26, -1.59904, -0.000460329, -0.00135988, -0.112753, 0, 0, -1.56101, -0.000460329, -2.22, -0.0217227
0.264, -1.59904, -0.00102844, -0.00133225, 0.0329609, 0, 0, -1.56101, -0.00102844, -2.22, 0
0.27, -1.59904, -0.0006867, -0.00135841, -0.0362446, 0, 0, -1.56101, -0.0006867, -2.22, 0.0217227
0.275, -1.59904, -0.000462264, -0.0013316, 0.0723408, 0, 0, -1.56101, -0.000462264, -2.22, 0
0.282, -1.59904, -0.00058402, -0.00135813, -0.0500867, 0, 0, -1.56101, -0.00058402, -2.22, 0
0.287, -1.59904, -0.000154902, -0.00133148, -0.0128074, 0, 0, -1.56101, -0.000154902, -2.22, 0.0217227
0.292, -1.59904, 0.000256224, -0.00131967, 0.0616041, 0, 0, -1.56101, 0.000256224, -2.22, 0.0217227
0.297, -1.59904, 0.000401214, -0.00131443, 0.0945786, 0, 0, -1.56101, 0.000401214, -2.22, 0.0217227
0.301, -1.59904, -0.000833279, -0.00131212, 0.129531, 0, 0, -1.56101, -0.000833279, -2.22, -0.0868908
0.306, -1.59904, -0.000118578, -0.00131109, 0.0738288, 0, 0, -1.56101, -0.000118578, -2.22, 0.0217227
0.311, -1.59904, 4.83843e-05, -0.00131063, 0.088261, 0, 0, -1.56101, 4.83843e-05, -2.22, 0
0.316, -1.59904, -0.00117421, -0.00131043, 0.150984, 0, 0, -1.56101, -0.00117421, -2.22, 0.0651681
0.322, -1.59904, -0.000416238, -0.00131034, 0.100546, 0, 0, -1.56102, -0.000416238, -2.22, -0.0434454
0.328, -1.59904, 0.000214613, -0.0013103, 0.1001, 0, 0, -1.56102, 0.000214613, -2.22, 0
0.335, -1.59904, 1.50421e-05, -0.00131028, 0.139801, 0, 0, -1.56102, 1.50421e-05, -2.22, -0.0434454
0.339, -1.59904, -0.00052101, -0.00131028, 0.0877677, 0, 0, -1.56102, -0.00052101, -2.22, 0
0.343, -1.59904, 0.00105931, -0.00131027, 0.0647097, 0, 0, -1.56102, 0.00105931, -2.22, 0
0.348, -1.59904, 0.000421884, -0.00134867, -0.0456451, 0, 0, -1.56101, 0.000421884, -2.22, 0.0217227
0.354, -1.59904, -0.000822495, -0.00136569, -0.0945475, 0, 0, -1.56101, -0.000822495, -2.22, 0
