T,c_pitch_pos_ref,wheel_vel_ref,pitch_pos,pitch_vel,wheel_pos,wheel_vel,waist_pos,waist_vel,c_pitch_pos,c_pitch_vel,Fr,wheel_torque
0, -0.05, 5, -1.5708, 0, 0, 0, -2.35, 0, 1.06769, 0, 2.22, 0
0.003, -0.05, 5, -0.927506, 0.000873259, -36.8702, 0.00156464, -2.35, 0, -1.43061, 0.000873259, -2.22, 0
0.005, -0.05, 5, -0.642438, 0.0015196, -53.2088, 0.00929887, -2.35, 0, -1.14555, 0.0015196, -2.22, -0.0434454
0.007, -0.05, 5, -0.516112, 0.00165701, -60.449, 0.0127262, -2.35, 0, -1.01922, 0.00165701, -2.22, -0.0434454
0.009, -0.05, 5, -0.460132, 0.0017179, -63.6574, 0.014245, -2.35, 0, -0.963241, 0.0017179, -2.22, -0.0434454
0.011, -0.05, 5, -0.435324, 0.00170812, -65.0792, 0.0673334, -2.35, 0, -0.938432, 0.00170812, -2.22, -0.0651681
0.014, -0.05, 5, -0.424329, 0.00118567, -65.7092, 0.0407904, -2.35, 0, -0.927437, 0.00118567, -2.22, 0
0.016, -0.05, 5, -0.419455, 0.00113941, -65.9884, 0.0290282, -2.35, 0, -0.922563, 0.00113941, -2.22, 0
0.018, -0.05, 5, -0.417293, 0.00141434, -66.1122, -0.101355, -2.35, 0, -0.920402, 0.00141434, -2.22, 0.0434454
0.02, -0.05, 5, -0.416336, 0.000608821, -66.167, -0.159133, -2.35, 0, -0.919444, 0.000608821, -2.22, 0.0434454
0.022, -0.05, 5, -0.415912, -6.80633e-05, -66.1913, -0.216812, -2.35, 0, -0.919021, -6.80633e-05, -2.22, 0.0651681
0.024, -0.05, 5, -0.415726, -0.000788341, -66.2021, -0.242371, -2.35, 0, -0.918834, -0.000788341, -2.22, 0.0651681
0.026, -0.05, 5, -0.415644, -0.000366139, -66.2068, -0.0956689, -2.35, 0, -0.918752, -0.000366139, -2.22, 0
0.028, -0.05, 5, -0.41561, -0.00151504, -66.2089, -0.0306597, -2.35, 0, -0.918718, -0.00151504, -2.22, 0
0.03, -0.05, 5, -0.415597, -0.00191183, -66.2098, 0.0302235, -2.35, 0, -0.918706, -0.00191183, -2.22, 0.0217227
0.032, -0.05, 5, -0.415594, -0.00190244, -66.2102, 0.0572031, -2.35, 0, -0.918702, -0.00190244, -2.22, 0.0217227
0.034, -0.05, 5, -0.415596, -0.00293736, -66.2104, 0.0691587, -2.35, 0, -0.918705, -0.00293736, -2.22, 0.0217227
0.036, -0.05, 5, -0.415599, -0.00232071, -66.2105, 0.077586, -2.35, 0, -0.918708, -0.00232071, -2.22, 0.0217227
